fips,name,dem_total,gop_total,other_total,novote_total,grand_total,leader,leader_total,margin
19001,ADAIR,1844,2402,32,0,4278,gop,2402,558
19003,ADAMS,977,1317,31,0,2325,gop,1317,340
19005,ALLAMAKEE,3449,3530,83,0,7062,gop,3530,81
19007,APPANOOSE,3063,3340,47,0,6450,gop,3340,277
19009,AUDUBON,1608,1958,26,0,3592,gop,1958,350
19011,BENTON,6747,6658,96,0,13501,dem,6747,89
19013,BLACK HAWK,35392,28046,469,0,63907,dem,35392,7346
19015,BOONE,7027,6870,112,0,14009,dem,7027,157
19017,BREMER,6025,6665,89,0,12779,gop,6665,640
19019,BUCHANAN,5608,4797,70,0,10475,dem,5608,811
19021,BUENA VISTA,3520,4887,83,0,8490,gop,4887,1367
19023,BUTLER,3001,4417,57,0,7475,gop,4417,1416
19025,CALHOUN,2243,3255,44,0,5542,gop,3255,1012
19027,CARROLL,4689,5762,73,0,10524,gop,5762,1073
19029,CASS,2679,4796,68,0,7543,gop,4796,2117
19031,CEDAR,4747,4869,78,0,9694,gop,4869,122
19033,CERRO GORDO,13372,10960,184,0,24516,dem,13372,2412
19035,CHEROKEE,2988,3758,50,0,6796,gop,3758,770
19037,CHICKASAW,3708,3040,58,0,6806,dem,3708,668
19039,CLARKE,2323,2200,43,0,4566,dem,2323,123
19041,CLAY,3547,4898,143,0,8588,gop,4898,1351
19043,CLAYTON,4736,4312,120,0,9168,dem,4736,424
19045,CLINTON,13813,10666,205,0,24684,dem,13813,3147
19047,CRAWFORD,3220,3955,67,0,7242,gop,3955,735
19049,DALLAS,10917,15183,193,0,26293,gop,15183,4266
19051,DAVIS,1731,2148,39,0,3918,gop,2148,417
19053,DECATUR,1859,2088,64,0,4011,gop,2088,229
19055,DELAWARE,4227,4908,65,0,9200,gop,4908,681
19057,DES MOINES,12456,8221,197,0,20874,dem,12456,4235
19059,DICKINSON,4140,5337,76,0,9553,gop,5337,1197
19061,DUBUQUE,26561,20100,382,0,47043,dem,26561,6461
19063,EMMET,2405,2697,54,0,5156,gop,2697,292
19065,FAYETTE,5185,5128,79,0,10392,dem,5185,57
19067,FLOYD,4349,3745,73,0,8167,dem,4349,604
19069,FRANKLIN,2340,3128,53,0,5521,gop,3128,788
19071,FREMONT,1510,2362,39,0,3911,gop,2362,852
19073,GREENE,2459,2618,36,0,5113,gop,2618,159
19075,GRUNDY,2386,4429,34,0,6849,gop,4429,2043
19077,GUTHRIE,2614,3325,55,0,5994,gop,3325,711
19079,HAMILTON,3895,4367,73,0,8335,gop,4367,472
19081,HANCOCK,2484,3368,53,0,5905,gop,3368,884
19083,HARDIN,4015,4875,59,0,8949,gop,4875,860
19085,HARRISON,2906,4680,94,0,7680,gop,4680,1774
19087,HENRY,4127,5220,110,0,9457,gop,5220,1093
19089,HOWARD,2614,2028,55,0,4697,dem,2614,586
19091,HUMBOLDT,2146,3162,42,0,5350,gop,3162,1016
19093,IDA,1415,2342,17,0,3774,gop,2342,927
19095,IOWA,3841,4544,69,0,8454,gop,4544,703
19097,JACKSON,5656,4242,113,0,10011,dem,5656,1414
19099,JASPER,10430,9462,170,0,20062,dem,10430,968
19101,JEFFERSON,4490,3648,143,0,8281,dem,4490,842
19103,JOHNSON,41847,22715,811,0,65373,dem,41847,19132
19105,JONES,5054,4834,90,0,9978,dem,5054,220
19107,KEOKUK,2294,3119,67,0,5480,gop,3119,825
19109,KOSSUTH,4132,5042,84,0,9258,gop,5042,910
19111,LEE,10152,7472,234,0,17858,dem,10152,2680
19113,LINN,60442,49442,856,0,110740,dem,60442,11000
19115,LOUISA,2297,2572,47,0,4916,gop,2572,275
19117,LUCAS,1987,2543,41,0,4571,gop,2543,556
19119,LYON,1303,4751,47,0,6101,gop,4751,3448
19121,MADISON,3380,4538,86,0,8004,gop,4538,1158
19123,MAHASKA,3790,6858,80,0,10728,gop,6858,3068
19125,MARION,6574,9990,132,0,16696,gop,9990,3416
19127,MARSHALL,9443,9557,164,0,19164,gop,9557,114
19129,MILLS,2308,4556,76,0,6940,gop,4556,2248
19131,MITCHELL,2785,2646,49,0,5480,dem,2785,139
19133,MONONA,2397,2575,46,0,5018,gop,2575,178
19135,MONROE,1855,2067,41,0,3963,gop,2067,212
19137,MONTGOMERY,1899,3601,56,0,5556,gop,3601,1702
19139,MUSCATINE,9542,9020,155,0,18717,dem,9542,522
19141,O'BRIEN,2330,5328,73,0,7731,gop,5328,2998
19143,OSCEOLA,934,2295,37,0,3266,gop,2295,1361
19145,PAGE,2211,5243,59,0,7513,gop,5243,3032
19147,PALO ALTO,2482,2674,35,0,5191,gop,2674,192
19149,PLYMOUTH,4278,7810,134,0,12222,gop,7810,3532
19151,POCAHONTAS,1822,2441,50,0,4313,gop,2441,619
19153,POLK,105218,95828,1572,0,202618,dem,105218,9390
19155,POTTAWATTAMIE,16906,24558,356,0,41820,gop,24558,7652
19157,POWESHIEK,5043,4965,83,0,10091,dem,5043,78
19159,RINGGOLD,1286,1466,26,0,2778,gop,1466,180
19161,SAC,2215,3128,31,0,5374,gop,3128,913
19163,SCOTT,42122,39958,642,0,82722,dem,42122,2164
19165,SHELBY,2355,4256,59,0,6670,gop,4256,1901
19167,SIOUX,2259,14229,82,0,16570,gop,14229,11970
19169,STORY,23296,20819,537,0,44652,dem,23296,2477
19171,TAMA,4487,4456,58,0,9001,dem,4487,31
19173,TAYLOR,1252,1908,30,0,3190,gop,1908,656
19175,UNION,2747,3165,66,0,5978,gop,3165,418
19177,VAN BUREN,1568,2211,57,0,3836,gop,2211,643
19179,WAPELLO,9125,7403,179,0,16707,dem,9125,1722
19181,WARREN,10730,12160,163,0,23053,gop,12160,1430
19183,WASHINGTON,4595,5977,116,0,10688,gop,5977,1382
19185,WAYNE,1379,1733,21,0,3133,gop,1733,354
19187,WEBSTER,9561,8959,111,0,18631,dem,9561,602
19189,WINNEBAGO,2707,3175,70,0,5952,gop,3175,468
19191,WINNESHIEK,5354,5324,106,0,10784,dem,5354,30
19193,WOODBURY,21455,22451,289,0,44195,gop,22451,996
19195,WORTH,2286,1795,42,0,4123,dem,2286,491
19197,WRIGHT,2930,3631,42,0,6603,gop,3631,701
